scenario_id,assumption_id,draw_idx,n_deliveries,n_ptb,n_lbw,n_stillbirths,dalys,hiv_prev_final,syph_prev_final,ng_prev_final,ct_prev_final,tv_prev_final
anc_1screen_90cov,no_treatment_effect,78,29446542.0,4398024.0,1553820.0,16878.0,681349.2,0.0750193512971902,0.0188002757986668,0.0249424184729942,0.1882145307483086,0.28397206191427105
anc_1screen_90cov,no_treatment_effect,236,29501700.0,3936924.0,1417404.0,37932.0,607521.0,0.0533693634074708,0.0262268595637762,0.0002908103916246,0.2231176237291804,0.0814374214107908
anc_1screen_90cov,no_treatment_effect,263,30338466.0,4046370.0,1425930.0,19662.0,626913.3,0.011562254915477601,0.0178091106290672,0.015722697962068603,0.1319405830778182,0.1922721689640866
anc_1screen_90cov,no_treatment_effect,343,29339532.0,3944580.0,1560084.0,60030.0,611140.2,0.05271549684483261,0.0620501803043668,0.0189379026917698,0.13774272883246802,0.019346917562182004
anc_1screen_90cov,strong_effects,75,28313628.0,2589294.0,952998.0,22620.0,404889.3,0.11084777385689822,0.0019700553415476,0.0061636461987310005,0.046202385124497404,0.009398537760080202
anc_1screen_90cov,strong_effects,78,29442192.0,4158426.0,1720164.0,6090.0,649811.7,0.07332417626837381,0.000297960119184,0.023968649468288,0.19070421094363402,0.28376314237659145
anc_1screen_90cov,strong_effects,236,29493870.0,3856014.0,1529982.0,36714.0,599891.1,0.0521725706828446,0.0281749026337392,0.0,0.2214065798767156,0.08259674325851521
anc_1screen_90cov,strong_effects,263,30321762.0,3987732.0,1652826.0,19488.0,623024.4,0.011397722695934202,0.020243266724587202,0.018278627117585204,0.13369147742764342,0.190237628513222
anc_1screen_90cov,strong_effects,343,29323176.0,3732474.0,1690758.0,58812.0,584161.5,0.054002654202755206,0.060947951505016404,0.0188166500182526,0.13758145325173682,0.017804456243673
anc_1screen_90cov,weak_effects,75,28278306.0,1688496.0,324510.0,23142.0,263418.6,0.11161899328259761,0.0015843214251292,0.006608082993521799,0.0504758265631828,0.007937114495738
anc_1screen_90cov,weak_effects,78,29377986.0,2113926.0,384714.0,17226.0,328242.3,0.077527073565587,0.0197023878186642,0.023128670343289404,0.1907514940329896,0.28197198119577443
anc_1screen_90cov,weak_effects,236,29477166.0,2014224.0,366792.0,37584.0,312051.6,0.054072266006501404,0.011974144469543401,0.0,0.2233398096574402,0.081601854546967
anc_1screen_90cov,weak_effects,263,30292530.0,2081736.0,374622.0,22272.0,322978.8,0.011663355539182402,0.0183400413357988,0.0162976030200206,0.1336693273173548,0.19002678945995222
anc_1screen_90cov,weak_effects,343,29292726.0,1905996.0,372360.0,65076.0,296844.0,0.0547454140229614,0.0623194130597988,0.017846942997532,0.1372445186675752,0.0194812925771364
anc_2screen_50cov,central_reversible,75,28303362.0,2167518.0,570024.0,19314.0,337864.5,0.11082026313511481,0.0005143792377834001,0.007300800795629001,0.0409493262622436,0.0075662245197434
anc_2screen_50cov,central_reversible,78,29407914.0,3249450.0,942906.0,2784.0,504434.7,0.0755922321668626,0.0,0.023613480657181402,0.17888910997555643,0.27087763004009424
anc_2screen_50cov,central_reversible,236,29505180.0,2955564.0,829284.0,26970.0,457689.6,0.0538880503230834,0.016181310430854003,0.0,0.21573822822924482,0.0702660081217428
anc_2screen_50cov,central_reversible,263,30335856.0,3118428.0,909150.0,14094.0,484398.6,0.011584066489370201,0.0115788334595822,0.0167884641675888,0.12578123561561141,0.1809193515168582
anc_2screen_50cov,central_reversible,343,29319174.0,2865606.0,881136.0,53766.0,445796.7,0.054583525943411204,0.05524202291864241,0.017771499816843,0.1318440718787778,0.0172835145269964
anc_2screen_50cov,no_treatment_effect,75,28303362.0,2470800.0,750288.0,20010.0,384540.0,0.10726395759498282,0.0007659902345874001,0.0071551710144568004,0.042164015306919,0.0068718362386464005
anc_2screen_50cov,no_treatment_effect,78,29440800.0,4323900.0,1522500.0,19836.0,670143.6,0.07447151621894961,0.021601746524187,0.021207666592930004,0.18278589943624363,0.27432048034831047
anc_2screen_50cov,no_treatment_effect,236,29499264.0,3864888.0,1341714.0,34800.0,596715.6,0.05367973599748701,0.0213286782071598,0.0,0.21822327296010718,0.06670117878287621
anc_2screen_50cov,no_treatment_effect,263,30341250.0,3885942.0,1318224.0,15660.0,602344.5,0.011546872998912,0.0028784763553726003,0.016971509244796602,0.1257245663689762,0.18184821978613103
anc_2screen_50cov,no_treatment_effect,343,29343012.0,3823128.0,1470474.0,53940.0,592156.8,0.052743640011625605,0.0591222025047054,0.0185448733501818,0.13066011064621402,0.017256887879523404
anc_2screen_50cov,strong_effects,75,28316934.0,2686038.0,1004502.0,33582.0,419940.3,0.11030602440275142,0.0362575914856342,0.00628461648684,0.044123201824360206,0.0067165256342332
anc_2screen_50cov,strong_effects,78,29440974.0,4149030.0,1691802.0,3132.0,648106.5,0.07421558830692401,0.0,0.0227145608463378,0.183067078620186,0.2728317201431234
anc_2screen_50cov,strong_effects,236,29508312.0,3714900.0,1373382.0,20010.0,577401.6,0.0528148045249344,0.012086868139378,0.0,0.21698373016208022,0.07319245038527901
anc_2screen_50cov,strong_effects,263,30341946.0,3928398.0,1587924.0,16356.0,613393.5,0.011359771552570801,0.0167963683527884,0.016980772968838802,0.1278008354850148,0.1804642256491512
anc_2screen_50cov,strong_effects,343,29348406.0,3593622.0,1555734.0,50808.0,561628.5,0.0541661200015478,0.0577913441908398,0.017884674867532,0.13275934788510602,0.016120739773729603
anc_2screen_50cov,weak_effects,75,28286484.0,1680492.0,319464.0,18966.0,262218.0,0.11340138500421781,0.0017350824437372004,0.005770234523209,0.041554025272234604,0.0068231686762872
anc_2screen_50cov,weak_effects,78,29384946.0,2097222.0,384888.0,2784.0,325771.5,0.076883832805609,0.0,0.021255940148957,0.18328917452799923,0.2732218530922426
anc_2screen_50cov,weak_effects,236,29467596.0,1995780.0,361050.0,36192.0,309319.8,0.05375302079975981,0.035037470217759006,0.0,0.21462459220709684,0.0700147420300242
anc_2screen_50cov,weak_effects,263,30305406.0,2068860.0,371838.0,8526.0,320943.0,0.011711815672071,0.00039011703511040004,0.0165840065832024,0.1266213578351766,0.17702387898800861
anc_2screen_50cov,weak_effects,343,29304036.0,1891902.0,366618.0,54810.0,294799.5,0.0544774814178946,0.057481305911841404,0.016938011262352,0.12952701032215141,0.016231530511901
anc_2screen_75cov,central_reversible,75,28303710.0,2162472.0,568110.0,19314.0,337055.4,0.11081888739135662,0.0005143792377834001,0.006860806156701001,0.039384223265197804,0.0063465402634888006
anc_2screen_75cov,central_reversible,78,29408610.0,3226830.0,935250.0,2784.0,500919.9,0.07557124489288661,0.0,0.023437058749854002,0.17676768900266002,0.26725797237724525
anc_2screen_75cov,central_reversible,236,29505180.0,2935206.0,822672.0,26970.0,454583.7,0.0538886792537276,0.016181310430854003,0.0,0.2153632730447838,0.06839767039418501
anc_2screen_75cov,central_reversible,263,30334638.0,3099636.0,900102.0,13920.0,481458.0,0.011584196439932202,0.011557190780218402,0.016463279005668602,0.1220051713265694,0.177601496298346
anc_2screen_75cov,central_reversible,343,29317956.0,2842116.0,871914.0,53592.0,442221.0,0.05458510615317021,0.05524202291864241,0.0175229736831942,0.1288356291299288,0.0166716876503426
anc_2screen_75cov,no_treatment_effect,75,28303014.0,2471496.0,749766.0,20010.0,384644.4,0.10725895346638561,0.0007659902345874001,0.0063787745785766,0.0423927908343676,0.006300518733715801
anc_2screen_75cov,no_treatment_effect,78,29442366.0,4307544.0,1517802.0,19836.0,667672.8,0.07445027660568102,0.021578765942778202,0.021070148553078403,0.17933942333056402,0.270546447713823
anc_2screen_75cov,no_treatment_effect,236,29499612.0,3861408.0,1349892.0,35148.0,596263.2,0.05369352437189441,0.0222437909650254,0.0,0.2159760891328582,0.06545356956941441
anc_2screen_75cov,no_treatment_effect,263,30339858.0,3873762.0,1310220.0,15660.0,600256.5,0.011546853979948202,0.0028784763553726003,0.0168661776139628,0.1232032911481564,0.17847104819725162
anc_2screen_75cov,no_treatment_effect,343,29342316.0,3820692.0,1471344.0,53592.0,591826.2,0.052736567141945204,0.0580229102822004,0.019176431489746203,0.1279948196737976,0.017660898018343002
anc_2screen_75cov,strong_effects,75,28317108.0,2670030.0,997020.0,33930.0,417382.5,0.11030593945627121,0.0362575914856342,0.0061225695526748005,0.042153760554727006,0.0062896954412108
anc_2screen_75cov,strong_effects,78,29441322.0,4102572.0,1670922.0,3132.0,640685.4,0.07416486946513301,0.0,0.021378632593815,0.1809779339297976,0.26827728278137064
anc_2screen_75cov,strong_effects,236,29508834.0,3673488.0,1358070.0,19836.0,570859.2,0.052824850722878805,0.009505772917892199,0.0,0.21463319128551342,0.06982095789247741
anc_2screen_75cov,strong_effects,263,30340554.0,3893772.0,1572612.0,16530.0,607973.4,0.011359896436479801,0.0167747514051014,0.017698408239489802,0.1256901244413316,0.17785896290159442
anc_2screen_75cov,strong_effects,343,29348580.0,3552558.0,1536768.0,50982.0,555103.5,0.054164907998897005,0.05571222574511321,0.0182291966239898,0.130913780784606,0.015641308850015002
anc_2screen_75cov,weak_effects,75,28286658.0,1679448.0,319290.0,18966.0,262078.8,0.1134006696061272,0.0017350824437372004,0.005853286658132,0.0401551870739964,0.0057978545248666006
anc_2screen_75cov,weak_effects,78,29384772.0,2090784.0,383496.0,2784.0,324805.8,0.076883832805609,0.0,0.0203853889258934,0.18137590339716322,0.270002011037631
anc_2screen_75cov,weak_effects,236,29467422.0,1990386.0,359484.0,36192.0,308545.5,0.05375302079975981,0.035037470217759006,0.0,0.2138043635800498,0.0692920478838178
anc_2screen_75cov,weak_effects,263,30305232.0,2066076.0,370446.0,8526.0,320490.6,0.011711880116756801,0.00039011703511040004,0.016370854529364,0.12663449552663722,0.17276824272245841
anc_2screen_75cov,weak_effects,343,29303688.0,1887204.0,364530.0,54810.0,294042.6,0.0544774814178946,0.057481305911841404,0.0171866085444336,0.12618697166733422,0.013944963966574603
anc_2screen_90cov,central_reversible,75,28303884.0,2161254.0,567240.0,19314.0,336837.9,0.11081813682883002,0.0005143792377834001,0.005862273027742,0.0390496528032782,0.006420501044422799
anc_2screen_90cov,central_reversible,78,29408436.0,3221088.0,932118.0,2784.0,500041.2,0.0755717306944072,0.0,0.0228596551575098,0.1776252831783926,0.2671085175248966
anc_2screen_90cov,central_reversible,236,29505528.0,2930856.0,820410.0,26970.0,453931.2,0.0538877411439568,0.016181310430854003,0.0,0.21373291325118782,0.06831978659111841
anc_2screen_90cov,central_reversible,263,30334986.0,3096156.0,898710.0,13920.0,480796.8,0.011584004285058002,0.011557190780218402,0.016820305362931002,0.1233169108610892,0.1767844838728306
anc_2screen_90cov,central_reversible,343,29318304.0,2836026.0,868956.0,53592.0,441272.7,0.0545851211922662,0.055219459741747,0.0176962781010704,0.1287776714496194,0.016960075019218
anc_2screen_90cov,no_treatment_effect,75,28303536.0,2470626.0,748548.0,20010.0,384513.9,0.1072625620415196,0.0007659902345874001,0.0064858280420110005,0.0418200544484874,0.0059452772442516
anc_2screen_90cov,no_treatment_effect,78,29441322.0,4301106.0,1515540.0,19836.0,666637.5,0.07444929296253701,0.021555785361369602,0.0204089560805068,0.1798556655159062,0.26911361186897603
anc_2screen_90cov,no_treatment_effect,236,29499090.0,3860886.0,1350414.0,35148.0,596219.7,0.053693536293170405,0.0222437909650254,0.0,0.21531799535389343,0.06384661592652721
anc_2screen_90cov,no_treatment_effect,263,30341076.0,3873762.0,1311090.0,15660.0,600256.5,0.011546562553869402,0.002856833676009,0.0164983253561904,0.1235264715966958,0.1775156365886414
anc_2screen_90cov,no_treatment_effect,343,29342664.0,3817038.0,1468560.0,54288.0,591208.5,0.05274369126069141,0.05824872814270661,0.0191948155785188,0.1281878898001428,0.016777905048518
anc_2screen_90cov,strong_effects,75,28316760.0,2665158.0,995802.0,34104.0,416634.3,0.11030669780254002,0.0362815378457874,0.005139544091041601,0.041474057937327,0.006046929690924201
anc_2screen_90cov,strong_effects,78,29440452.0,4094220.0,1667268.0,3132.0,639345.6,0.07416618416292321,0.0,0.020550908248247603,0.1816619758854824,0.26856304901862244
anc_2screen_90cov,strong_effects,236,29507964.0,3662526.0,1356852.0,19836.0,569232.3,0.05282642107885001,0.0094825198077888,0.0,0.2151389563417878,0.06894571992397261
